lag,number of peak events,mean of peak events,std of peak events,t_stat of peak events,p_val of peak events,number of trough events,mean of trough events,std of trough events,t_stat of trough events,p_val of trough events
59,117,0.00620316957368452,0.07771511830228028,0.863378186519265,0.3897111945112893,167,-0.0036533547722916015,0.0813738561099498,-0.5801832505967309,0.5625777470238604
60,117,0.0073461992986043325,0.07699040854577245,1.0320934289554407,0.3041753943340702,167,-0.004266566676031138,0.07266531826096345,-0.7587690233054327,0.44906674798071566
61,117,0.011340018284982706,0.1355095497829324,0.9051838218789684,0.36724422774259236,167,0.008871893236903723,0.07259521679139366,1.5793069115587302,0.11616930927780417
62,117,-0.009539082160308413,0.05827916734795573,-1.7704602561242093,0.07927739567444816,167,-0.0007001479528529345,0.06592796451999595,-0.13723926753126134,0.8910079881126063
63,117,-0.004748913444952078,0.0748877280461881,-0.6859248387648187,0.49412915622272247,167,0.008023697285012673,0.07587366760802491,1.3666008715180389,0.1735985730316484
64,117,0.0050423965899970835,0.08987750370309786,0.606846609242195,0.5451386349087608,167,0.018047584781219133,0.08140532007115955,2.86499941760445,0.004709521651536973
65,117,0.015183729594318646,0.09096633196974543,1.8054717966413278,0.07359447346114721,167,0.004788069952099636,0.0967112404076157,0.6397963655899277,0.5231870094131155
66,117,-0.002490416681781129,0.06164188799320179,-0.43700762593886,0.662918256557765,167,0.0018703777735154515,0.08405059921368334,0.28757210376420395,0.7740329898188931
67,117,0.009620608094127289,0.09341324273433317,1.1140046561654386,0.26758009920141357,167,0.008607927379964903,0.08052034131893332,1.3815010612304595,0.1689815498924736
68,117,-0.004929073001407721,0.06623723169919665,-0.8049260962983271,0.42250906681817,167,0.004055651498337841,0.0814484872112938,0.643481169274276,0.5207998939506094
69,117,0.0007466193705734073,0.078360955210129,0.10306055164737589,0.9180928724975466,167,0.006802212957030861,0.07080619219058434,1.2414728327329723,0.21618248942935092
70,117,0.010326789779568264,0.07138085910532142,1.564863628479154,0.12033891997529832,167,0.008883778089082636,0.08311296503339309,1.3812972947919604,0.16904405652640808
71,117,0.015970921302180318,0.0832100932076868,2.0760934203385224,0.040094722025451716,167,-0.00487765078613197,0.06420203182135295,-0.9817935326455038,0.32763032505537004
72,117,0.001666244895210428,0.06720505866153338,0.268182106830003,0.7890354667609591,167,0.005387685261840933,0.08740522732895836,0.7965683489238765,0.4268395263075011
73,117,0.0018689441030429474,0.07419724605035409,0.2724591876330931,0.7857533665764428,167,0.010676327071210698,0.07978214299423118,1.7293161926151432,0.0856114918171861
74,117,0.0071268262176096085,0.08752228732463671,0.8807860767029781,0.3802548651154042,167,0.0015872736281928568,0.07448349193744541,0.27539116751261067,0.7833582227707148
75,117,-0.007195944630927812,0.06843000549438791,-1.137454855721348,0.25769222976470935,167,-0.001516166308428239,0.08178002970188632,-0.23958400104124436,0.8109483395417265
76,117,0.019824035192233858,0.09015369203358928,2.378490789225954,0.019017188953442985,167,-0.000874991645194108,0.06867942837913951,-0.16464004264999202,0.8694276210141875
